Altium Designer Pick and Place Locations
C:\Users\Barne\Documents\Visual Studio Code\SC-Avionics-System\SC-Avionic-System-HW\SC_Flight_Controller_PCB\Project Outputs for SC_Flight_Controller\Pick Place\Pick Place for FC_PCB.txt

========================================================================================================================
File Design Information:

Date:       13/02/26
Time:       12:22
Revision:   7bf03d5ad1811673975b9fd503e88c763c46da94
Variant:    No variations
Units used: mil

Designator Comment                           Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                   
J7         TC2030-IDC-NL                     TopLayer    TC2030IDCNL                    1568.354      1509.298      180      Connector                                                                                                                                                                                                     
J32        "3x2mm Pad"                       TopLayer    3x2mm_Pad-Footprint-1          1005.512      245.000       90       "3mm x 2mm Pad to solder"                                                                                                                                                                                     
J31        "3x2mm Pad"                       TopLayer    3x2mm_Pad-Footprint-1          1005.512      100.000       90       "3mm x 2mm Pad to solder"                                                                                                                                                                                     
J30        "3x2mm Pad"                       TopLayer    3x2mm_Pad-Footprint-1          900.512       245.000       270      "3mm x 2mm Pad to solder"                                                                                                                                                                                     
J29        "3x2mm Pad"                       TopLayer    3x2mm_Pad-Footprint-1          795.512       100.000       90       "3mm x 2mm Pad to solder"                                                                                                                                                                                     
J28        "3x2mm Pad"                       TopLayer    3x2mm_Pad-Footprint-1          690.512       100.000       90       "3mm x 2mm Pad to solder"                                                                                                                                                                                     
J27        "3x2mm Pad"                       TopLayer    3x2mm_Pad-Footprint-1          480.512       100.000       90       "3mm x 2mm Pad to solder"                                                                                                                                                                                     
J26        "3x2mm Pad"                       TopLayer    3x2mm_Pad-Footprint-1          585.512       245.000       90       "3mm x 2mm Pad to solder"                                                                                                                                                                                     
J25        "3x2mm Pad"                       TopLayer    3x2mm_Pad-Footprint-1          585.512       100.000       90       "3mm x 2mm Pad to solder"                                                                                                                                                                                     
J24        "3x2mm Pad"                       TopLayer    3x2mm_Pad-Footprint-1          900.512       100.000       270      "3mm x 2mm Pad to solder"                                                                                                                                                                                     
